Brightness,Light Level,Ambient,Potential Difference,,,Current,,
[arbitrary],[Lux],[Lux],[Millivolt],,,[Microamp],,
16,248,22,45.2,44.7,44.9,4.4,4.43,4.32
15,205,23,38,38.1,38.1,3.69,3.71,3.71
14,169,21,31.7,31.7,31.6,3.08,3.08,3
13,139,22,26.2,26.3,26.6,2.54,2.55,2.56
12,114,23,21.5,21.5,21.4,2.08,2.08,2.09
11,91,23,17.4,17.1,17.2,1.69,1.73,1.72
10,74,22,14.1,13.6,14,1.37,1.3,1.37
9,58,21,11.2,11.3,11.1,1.08,1.08,1.06
8,46,21,8.8,8.8,8.7,0.86,0.87,0.87
7,34,22,6.8,6.9,7,0.66,0.66,0.65
6,25,22,5.1,5.1,5.2,0.5,0.54,0.54
5,19,23,3.9,3.7,3,0.38,0.36,0.3
4,13,24,2.8,2.8,2.7,0.27,0.3,0.28
3,9,21,2,1.9,1.9,0.19,0.2,0.19
2,5,22,1.3,1.3,1.4,0.12,0.12,0.11
1,2,23,0.7,0.7,0.6,0.07,0.07,0.07
0,1,23,0,0,0,0,0,0
